season,round,race_name,race_date,circuit_id,circuit_name,driver_id,driver_code,driver_name,constructor_id,constructor_name,grid,position,position_text,laps,status
2000,5,Spanish Grand Prix,2000-05-07,catalunya,Circuit de Barcelona-Catalunya,irvine,,Eddie Irvine,jaguar,Jaguar,9,11,11,64,+1 Lap
2000,5,Spanish Grand Prix,2000-05-07,catalunya,Circuit de Barcelona-Catalunya,trulli,TRU,Jarno Trulli,jordan,Jordan,7,12,12,64,+1 Lap
2000,5,Spanish Grand Prix,2000-05-07,catalunya,Circuit de Barcelona-Catalunya,herbert,,Johnny Herbert,jaguar,Jaguar,14,13,13,64,+1 Lap
2000,5,Spanish Grand Prix,2000-05-07,catalunya,Circuit de Barcelona-Catalunya,gene,,Marc Gené,minardi,Minardi,20,14,14,63,+2 Laps
2000,5,Spanish Grand Prix,2000-05-07,catalunya,Circuit de Barcelona-Catalunya,mazzacane,,Gastón Mazzacane,minardi,Minardi,21,15,15,63,+2 Laps
2000,5,Spanish Grand Prix,2000-05-07,catalunya,Circuit de Barcelona-Catalunya,heidfeld,HEI,Nick Heidfeld,prost,Prost,19,16,16,62,+3 Laps
2000,5,Spanish Grand Prix,2000-05-07,catalunya,Circuit de Barcelona-Catalunya,button,BUT,Jenson Button,williams,Williams,10,17,17,61,Engine
2000,5,Spanish Grand Prix,2000-05-07,catalunya,Circuit de Barcelona-Catalunya,verstappen,,Jos Verstappen,arrows,Arrows,11,18,R,25,Gearbox
2000,5,Spanish Grand Prix,2000-05-07,catalunya,Circuit de Barcelona-Catalunya,villeneuve,VIL,Jacques Villeneuve,bar,BAR,6,19,R,21,Hydraulics
2000,5,Spanish Grand Prix,2000-05-07,catalunya,Circuit de Barcelona-Catalunya,alesi,,Jean Alesi,prost,Prost,17,20,R,1,Collision
2000,5,Spanish Grand Prix,2000-05-07,catalunya,Circuit de Barcelona-Catalunya,rosa,DLR,Pedro de la Rosa,arrows,Arrows,22,21,R,1,Collision
2000,5,Spanish Grand Prix,2000-05-07,catalunya,Circuit de Barcelona-Catalunya,diniz,,Pedro Diniz,sauber,Sauber,15,22,R,0,Spun off
2000,6,European Grand Prix,2000-05-21,nurburgring,Nürburgring,michael_schumacher,MSC,Michael Schumacher,ferrari,Ferrari,2,1,1,67,Finished
2000,6,European Grand Prix,2000-05-21,nurburgring,Nürburgring,hakkinen,,Mika Häkkinen,mclaren,McLaren,3,2,2,67,Finished
2000,6,European Grand Prix,2000-05-21,nurburgring,Nürburgring,coulthard,COU,David Coulthard,mclaren,McLaren,1,3,3,66,+1 Lap
2000,6,European Grand Prix,2000-05-21,nurburgring,Nürburgring,barrichello,BAR,Rubens Barrichello,ferrari,Ferrari,4,4,4,66,+1 Lap
2000,6,European Grand Prix,2000-05-21,nurburgring,Nürburgring,fisichella,FIS,Giancarlo Fisichella,benetton,Benetton,7,5,5,66,+1 Lap
2000,6,European Grand Prix,2000-05-21,nurburgring,Nürburgring,rosa,DLR,Pedro de la Rosa,arrows,Arrows,12,6,6,66,+1 Lap
2000,6,European Grand Prix,2000-05-21,nurburgring,Nürburgring,diniz,,Pedro Diniz,sauber,Sauber,15,7,7,65,+2 Laps
2000,6,European Grand Prix,2000-05-21,nurburgring,Nürburgring,mazzacane,,Gastón Mazzacane,minardi,Minardi,21,8,8,65,+2 Laps
2000,6,European Grand Prix,2000-05-21,nurburgring,Nürburgring,alesi,,Jean Alesi,prost,Prost,17,9,9,65,+2 Laps
2000,6,European Grand Prix,2000-05-21,nurburgring,Nürburgring,button,BUT,Jenson Button,williams,Williams,11,10,10,62,Electrical
2000,6,European Grand Prix,2000-05-21,nurburgring,Nürburgring,herbert,,Johnny Herbert,jaguar,Jaguar,16,11,11,61,Collision
2000,6,European Grand Prix,2000-05-21,nurburgring,Nürburgring,wurz,WUR,Alexander Wurz,benetton,Benetton,14,12,12,61,Collision
2000,6,European Grand Prix,2000-05-21,nurburgring,Nürburgring,zonta,ZON,Ricardo Zonta,bar,BAR,18,13,R,51,Spun off
2000,6,European Grand Prix,2000-05-21,nurburgring,Nürburgring,gene,,Marc Gené,minardi,Minardi,20,14,R,47,Throttle
2000,6,European Grand Prix,2000-05-21,nurburgring,Nürburgring,villeneuve,VIL,Jacques Villeneuve,bar,BAR,9,15,R,46,Engine
2000,6,European Grand Prix,2000-05-21,nurburgring,Nürburgring,irvine,,Eddie Irvine,jaguar,Jaguar,8,16,R,29,Collision
2000,6,European Grand Prix,2000-05-21,nurburgring,Nürburgring,verstappen,,Jos Verstappen,arrows,Arrows,13,17,R,29,Spun off
2000,6,European Grand Prix,2000-05-21,nurburgring,Nürburgring,ralf_schumacher,SCH,Ralf Schumacher,williams,Williams,5,18,R,29,Collision
2000,6,European Grand Prix,2000-05-21,nurburgring,Nürburgring,salo,,Mika Salo,sauber,Sauber,19,19,R,27,Halfshaft
2000,6,European Grand Prix,2000-05-21,nurburgring,Nürburgring,frentzen,,Heinz-Harald Frentzen,jordan,Jordan,10,20,R,2,Engine
2000,6,European Grand Prix,2000-05-21,nurburgring,Nürburgring,trulli,TRU,Jarno Trulli,jordan,Jordan,6,21,R,0,Collision
2000,7,Monaco Grand Prix,2000-06-04,monaco,Circuit de Monaco,coulthard,COU,David Coulthard,mclaren,McLaren,3,1,1,78,Finished
2000,7,Monaco Grand Prix,2000-06-04,monaco,Circuit de Monaco,barrichello,BAR,Rubens Barrichello,ferrari,Ferrari,6,2,2,78,Finished
2000,7,Monaco Grand Prix,2000-06-04,monaco,Circuit de Monaco,fisichella,FIS,Giancarlo Fisichella,benetton,Benetton,8,3,3,78,Finished
2000,7,Monaco Grand Prix,2000-06-04,monaco,Circuit de Monaco,irvine,,Eddie Irvine,jaguar,Jaguar,10,4,4,78,Finished
2000,7,Monaco Grand Prix,2000-06-04,monaco,Circuit de Monaco,salo,,Mika Salo,sauber,Sauber,13,5,5,78,Finished
2000,7,Monaco Grand Prix,2000-06-04,monaco,Circuit de Monaco,hakkinen,,Mika Häkkinen,mclaren,McLaren,5,6,6,77,+1 Lap
2000,7,Monaco Grand Prix,2000-06-04,monaco,Circuit de Monaco,villeneuve,VIL,Jacques Villeneuve,bar,BAR,17,7,7,77,+1 Lap
2000,7,Monaco Grand Prix,2000-06-04,monaco,Circuit de Monaco,heidfeld,HEI,Nick Heidfeld,prost,Prost,18,8,8,77,+1 Lap
2000,7,Monaco Grand Prix,2000-06-04,monaco,Circuit de Monaco,herbert,,Johnny Herbert,jaguar,Jaguar,11,9,9,76,+2 Laps
2000,7,Monaco Grand Prix,2000-06-04,monaco,Circuit de Monaco,frentzen,,Heinz-Harald Frentzen,jordan,Jordan,4,10,10,70,Spun off
2000,7,Monaco Grand Prix,2000-06-04,monaco,Circuit de Monaco,verstappen,,Jos Verstappen,arrows,Arrows,15,11,R,60,Spun off
2000,7,Monaco Grand Prix,2000-06-04,monaco,Circuit de Monaco,michael_schumacher,MSC,Michael Schumacher,ferrari,Ferrari,1,12,R,55,Suspension
2000,7,Monaco Grand Prix,2000-06-04,monaco,Circuit de Monaco,zonta,ZON,Ricardo Zonta,bar,BAR,20,13,R,48,Spun off
2000,7,Monaco Grand Prix,2000-06-04,monaco,Circuit de Monaco,ralf_schumacher,SCH,Ralf Schumacher,williams,Williams,9,14,R,37,Spun off
2000,7,Monaco Grand Prix,2000-06-04,monaco,Circuit de Monaco,trulli,TRU,Jarno Trulli,jordan,Jordan,2,15,R,36,Gearbox
2000,7,Monaco Grand Prix,2000-06-04,monaco,Circuit de Monaco,diniz,,Pedro Diniz,sauber,Sauber,19,16,R,30,Spun off
2000,7,Monaco Grand Prix,2000-06-04,monaco,Circuit de Monaco,alesi,,Jean Alesi,prost,Prost,7,17,R,29,Transmission
2000,7,Monaco Grand Prix,2000-06-04,monaco,Circuit de Monaco,mazzacane,,Gastón Mazzacane,minardi,Minardi,22,18,R,22,Spun off
2000,7,Monaco Grand Prix,2000-06-04,monaco,Circuit de Monaco,gene,,Marc Gené,minardi,Minardi,21,19,R,21,Gearbox
2000,7,Monaco Grand Prix,2000-06-04,monaco,Circuit de Monaco,wurz,WUR,Alexander Wurz,benetton,Benetton,12,20,R,18,Spun off
2000,7,Monaco Grand Prix,2000-06-04,monaco,Circuit de Monaco,button,BUT,Jenson Button,williams,Williams,14,21,R,16,Engine
2000,7,Monaco Grand Prix,2000-06-04,monaco,Circuit de Monaco,rosa,DLR,Pedro de la Rosa,arrows,Arrows,16,22,W,0,Not restarted
2000,8,Canadian Grand Prix,2000-06-18,villeneuve,Circuit Gilles Villeneuve,michael_schumacher,MSC,Michael Schumacher,ferrari,Ferrari,1,1,1,69,Finished
2000,8,Canadian Grand Prix,2000-06-18,villeneuve,Circuit Gilles Villeneuve,barrichello,BAR,Rubens Barrichello,ferrari,Ferrari,3,2,2,69,Finished
2000,8,Canadian Grand Prix,2000-06-18,villeneuve,Circuit Gilles Villeneuve,fisichella,FIS,Giancarlo Fisichella,benetton,Benetton,10,3,3,69,Finished
2000,8,Canadian Grand Prix,2000-06-18,villeneuve,Circuit Gilles Villeneuve,hakkinen,,Mika Häkkinen,mclaren,McLaren,4,4,4,69,Finished
2000,8,Canadian Grand Prix,2000-06-18,villeneuve,Circuit Gilles Villeneuve,verstappen,,Jos Verstappen,arrows,Arrows,13,5,5,69,Finished
2000,8,Canadian Grand Prix,2000-06-18,villeneuve,Circuit Gilles Villeneuve,trulli,TRU,Jarno Trulli,jordan,Jordan,7,6,6,69,Finished
2000,8,Canadian Grand Prix,2000-06-18,villeneuve,Circuit Gilles Villeneuve,coulthard,COU,David Coulthard,mclaren,McLaren,2,7,7,69,Finished
2000,8,Canadian Grand Prix,2000-06-18,villeneuve,Circuit Gilles Villeneuve,zonta,ZON,Ricardo Zonta,bar,BAR,8,8,8,69,Finished
2000,8,Canadian Grand Prix,2000-06-18,villeneuve,Circuit Gilles Villeneuve,wurz,WUR,Alexander Wurz,benetton,Benetton,14,9,9,69,Finished
2000,8,Canadian Grand Prix,2000-06-18,villeneuve,Circuit Gilles Villeneuve,diniz,,Pedro Diniz,sauber,Sauber,19,10,10,69,Finished
2000,8,Canadian Grand Prix,2000-06-18,villeneuve,Circuit Gilles Villeneuve,button,BUT,Jenson Button,williams,Williams,18,11,11,68,+1 Lap
2000,8,Canadian Grand Prix,2000-06-18,villeneuve,Circuit Gilles Villeneuve,mazzacane,,Gastón Mazzacane,minardi,Minardi,22,12,12,68,+1 Lap
2000,8,Canadian Grand Prix,2000-06-18,villeneuve,Circuit Gilles Villeneuve,irvine,,Eddie Irvine,jaguar,Jaguar,16,13,13,66,+3 Laps
2000,8,Canadian Grand Prix,2000-06-18,villeneuve,Circuit Gilles Villeneuve,ralf_schumacher,SCH,Ralf Schumacher,williams,Williams,12,14,14,64,Collision
2000,8,Canadian Grand Prix,2000-06-18,villeneuve,Circuit Gilles Villeneuve,villeneuve,VIL,Jacques Villeneuve,bar,BAR,6,15,15,64,Collision
2000,8,Canadian Grand Prix,2000-06-18,villeneuve,Circuit Gilles Villeneuve,gene,,Marc Gené,minardi,Minardi,20,16,16,64,Spun off
2000,8,Canadian Grand Prix,2000-06-18,villeneuve,Circuit Gilles Villeneuve,rosa,DLR,Pedro de la Rosa,arrows,Arrows,9,17,R,48,Collision
2000,8,Canadian Grand Prix,2000-06-18,villeneuve,Circuit Gilles Villeneuve,salo,,Mika Salo,sauber,Sauber,15,18,R,42,Electrical
2000,8,Canadian Grand Prix,2000-06-18,villeneuve,Circuit Gilles Villeneuve,alesi,,Jean Alesi,prost,Prost,17,19,R,38,Electrical
